ward_name,Searches,Completed Trips,Cancelled Bookings,Booking Cancellation Rate,Average Distance per Trip (km),Base Points
A Narayanapura,3983,879,580,0.384790323,8.116262258,37.20406992
AECS Layout,7250,1394,814,0.331520968,19.06357182,32.6519573
Adugodi,13846,3056,1755,0.324256452,14.90788489,24.11181967
Agara,16308,3802,1767,0.295193548,12.3745112,20.77813391
Agaram,1371,300,183,0.276143548,3.964354168,39.92269025
Agrahara,61,21,8,0.057258065,3.963895886,40.95349993
Agrahara Dasarahalli,318,157,54,0.147927419,2.103588631,40.78985735
Ajizsait Nagara,6,0,1,0.016129032,17.45734677,70.99718833
Amrutahalli,2934,971,574,0.238829032,12.42118522,37.7362201
Anjanapura,1937,701,286,0.217540323,14.45337898,38.93316051
Arakere,3304,1008,481,0.262879032,1.391105392,37.36816425
Aramane Nagara,5064,1781,892,0.292203226,19.42828719,35.24734952
Aravindanagara,31,12,5,0.048387097,16.81641018,70.9837127
Ashoka Pillar,2256,755,381,0.263559677,5.034443103,38.72146963
Ashokapuram,14,8,1,0.008064516,4.454674377,70.98512639
Attiguppe,1153,565,180,0.177814516,4.484685687,39.80179229
Atturu Layout,985,364,190,0.300382258,6.780602616,40.5457209
Avalahalli,614,260,134,0.237122581,10.9703722,40.71763827
Azad Nagar,294,122,55,0.178096774,9.206955354,40.90929868
BTM Layout,6763,1529,1084,0.370733871,6.533353664,33.52716956
Babusab Palya,4366,1081,682,0.297390323,12.625205,36.17406888
Bagalakunte,682,230,111,0.225483871,3.650383352,40.58158034
Banasavadi,4540,1360,650,0.289969355,6.550748322,35.91068529
Banashankari Temple ward,714,226,146,0.256166129,7.960875023,40.6733595
Bande Mutt,1419,541,232,0.222709677,9.6653297,39.62095357
Bannimantapa,16,6,6,0.096774194,15.91834327,71.06625177
Bannimantapa Hudco Badavane,33,8,4,0.040322581,4.793801861,70.97469761
Bapuji Nagar,135,45,32,0.218280645,10.77045433,41.25748141
Basavanagudi,1592,757,263,0.175514516,12.25587681,39.22893893
Basavanapura,1954,496,285,0.228441935,1.882557842,38.95501767
Basaveshwara Nagar,461,261,55,0.112466129,12.54335219,40.52253332
Begur,3116,747,392,0.296604839,4.23995835,37.78017567
Belathur,4794,1230,793,0.327779032,2.235980267,35.79368292
Bellanduru,17830,3136,2268,0.388777419,19.02882521,19.39350324
Bharathi Nagar,803,233,139,0.247487097,19.34700863,40.51936471
Bilekhalli,4131,1001,584,0.275627419,16.35954961,36.36457163
Binnipete,448,167,121,0.304151613,6.787661614,41.25801667
Bommanahalli,1476,323,231,0.278225806,2.855770166,39.79781361
Byatarayanapura,2780,1081,524,0.250340323,14.0004275,37.98528853
Byrasandra,5572,1999,829,0.220045161,9.362897381,34.26025551
C V Raman Nagar,7020,1601,1069,0.33063871,3.318726462,32.94299584
Chalavadipalya,225,74,51,0.202883871,10.40836129,41.0831782
Chamrajapet,1694,645,355,0.237791935,1.653381901,39.32919489
Chamundi Nagara,1014,375,182,0.239104839,18.27708764,40.21083641
Chamundipuram,10,5,2,0.016129032,5.91681965,70.99203535
Chanakya,828,239,170,0.350901613,13.5879234,41.0440973
Chandra Layout,444,210,90,0.183625806,6.922510446,40.73406174
Chatrapati Shivaji,2489,827,594,0.379590323,10.8812924,39.09293459
Chickpete,1247,320,388,0.321053226,11.38749531,40.32381183
Chokkasandra,1610,407,328,0.296983871,4.512234655,39.72229719
Chowdeswari Ward,981,311,204,0.243470968,19.42210793,40.27231138
Chunchaghatta,2524,793,338,0.202977419,15.72752364,38.12184519
Cottonpete,543,177,143,0.277672581,18.85047989,40.99697814
Dattagalli,30,9,3,0.032258065,18.00171966,70.97329439
Dattatreya Temple,1121,495,213,0.191441935,12.3600996,39.88830424
Dayananda Nagar,258,125,51,0.173104839,18.51561047,40.93989691
Deen Dayalu Ward,823,291,153,0.190703226,2.681357539,40.26966053
Defence Colony,1091,354,240,0.307169355,4.723674386,40.44627856
Devara Jeevanahalli,55,8,13,0.106451613,1.859318489,41.03371054
Devarachikkanahalli,2589,587,336,0.268754839,7.181276285,38.31737326
Devaraj Urs Nagar,134,43,43,0.210841935,8.384868504,41.23004058
Devarajamohalla,48,21,8,0.0793,6.155631604,70.99733715
Devasandra,2936,825,522,0.336646774,16.74601267,38.24026931
Dharmaraya Swamy Temple Ward,3702,927,702,0.344812903,7.778313207,37.30355781
Dodda Bidarakallu,643,213,140,0.261998387,6.337755684,40.7920235
Dodda Bommasandra,1144,448,221,0.219956452,11.31122558,39.96425204
Dodda Nekkundi,7439,1492,935,0.324916129,3.677560275,32.36945809
Doddagollarahatti,837,335,130,0.203903226,16.24174263,40.29850435
Doddakanahalli,19576,3913,2345,0.333280645,2.41646223,16.78358084
Domlur,8404,2009,993,0.297754839,19.7508518,30.97408897
Dr. Raj Kumar Ward,824,379,153,0.223840323,15.67265062,40.39200321
Ejipura,6761,1777,1062,0.374796774,4.775597949,33.55700722
Gali Anjenaya Temple ward,928,384,167,0.285546774,1.104920225,40.54091799
Gandhinagar,5055,1924,950,0.328019355,16.49376714,35.45886947
Gandhinagara,5,3,1,0.005375806,14.43028953,70.99639536
Ganesh Mandir ward,1801,878,321,0.189045161,14.85113619,39.00409032
Ganga Nagar,1722,731,334,0.262767742,15.65413659,39.40564098
Gangothri Ward,51,26,3,0.018816129,2.406848383,40.94006243
Garudachar Playa,2515,611,366,0.300129032,7.810848842,38.57333782
Gathripuram 1St Stage,27,6,1,0.008064516,3.201512131,70.96837921
Gayithri Nagar,711,331,131,0.187516129,17.39896509,40.40309515
Girinagar,1376,760,221,0.155664516,12.84266441,39.44803466
Giriyabovipallya,10,4,2,0.013440323,7.287062472,70.99131982
"Gokulam,Brudhavana",56,27,5,0.045698387,2.207608655,40.94922987
Gottigere,1247,517,234,0.279996774,6.908664113,40.10171901
"Gousianagara Ablock,Usmaniya Block",2,1,1,0.008064516,7.178483119,71.00058533
Govindaraja Nagar,532,282,86,0.142124194,14.86251739,40.49902385
Gunduraonagara,8,2,1,0.008064516,13.11359196,70.99285586
